epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.057,1.69922,2.53554,1.53388,0.92897,0.17699,0.67254,0.39054,1.36418,2.68535,1.27834,0.000647059,0.000647059,0.000647059
2,311.156,1.37599,1.60877,1.24893,0.8028,0.6485,0.69572,0.36835,1.52226,2.22992,1.44648,0.00128771,0.00128771,0.00128771
3,464.822,1.4075,1.49027,1.23087,0.75657,0.82515,0.84286,0.43183,1.44647,1.8034,1.36136,0.00190197,0.00190197,0.00190197
4,618.476,1.41867,1.40643,1.23655,0.84909,0.84648,0.88233,0.58621,1.24826,1.46099,1.21899,0.0018812,0.0018812,0.0018812
5,770.374,1.28498,1.24453,1.18106,0.90855,0.88496,0.91549,0.61964,1.17451,1.22507,1.12488,0.0018416,0.0018416,0.0018416
6,922.649,1.24984,1.13713,1.15305,0.86283,0.82301,0.92644,0.62227,1.17861,1.32468,1.18249,0.001802,0.001802,0.001802
7,1074.41,1.19339,1.07637,1.1598,0.89789,0.79646,0.85863,0.58068,1.09667,1.13261,1.17716,0.0017624,0.0017624,0.0017624
8,1226.98,1.16146,1.03219,1.13558,0.89491,0.79646,0.87148,0.56823,1.22995,1.08154,1.13038,0.0017228,0.0017228,0.0017228
9,1380.48,1.16803,0.98041,1.11835,0.89329,0.89381,0.9268,0.69812,0.98182,0.9808,1.05416,0.0016832,0.0016832,0.0016832
10,1532.59,1.09829,0.95214,1.1179,0.94473,0.90755,0.96131,0.72533,0.93587,0.8104,1.04346,0.0016436,0.0016436,0.0016436
11,1684.33,1.08031,0.90249,1.09306,0.90344,0.92035,0.95771,0.72576,0.9587,0.82275,1.0501,0.001604,0.001604,0.001604
12,1835.56,1.08911,0.89737,1.10004,0.9135,0.9115,0.95194,0.70411,0.9905,0.78494,1.03736,0.0015644,0.0015644,0.0015644
13,1987.95,1.07674,0.85075,1.08647,0.92839,0.9179,0.9374,0.71662,0.93468,0.77559,1.02581,0.0015248,0.0015248,0.0015248
14,2140.41,1.04743,0.86004,1.07893,0.89313,0.89381,0.92146,0.69636,0.87373,0.74126,1.00035,0.0014852,0.0014852,0.0014852
15,2294.56,1.01807,0.83224,1.0689,0.89265,0.88309,0.93556,0.72765,0.92958,0.75724,1.01543,0.0014456,0.0014456,0.0014456
16,2447.43,0.99887,0.78801,1.06376,0.87779,0.88994,0.93421,0.74017,0.87238,0.71064,0.98257,0.001406,0.001406,0.001406
17,2600.35,0.99031,0.79448,1.0587,0.92822,0.90265,0.95164,0.75553,0.87657,0.65906,1.02693,0.0013664,0.0013664,0.0013664
18,2754.43,0.96669,0.76454,1.03858,0.94917,0.88496,0.94596,0.74587,0.867,0.6598,0.99149,0.0013268,0.0013268,0.0013268
19,2907.96,0.97741,0.77857,1.04717,0.92462,0.88496,0.93226,0.72114,0.94022,0.67618,0.99172,0.0012872,0.0012872,0.0012872
20,3063.48,1.01752,0.77129,1.0626,0.95135,0.90265,0.94397,0.75195,0.86179,0.65666,0.98798,0.0012476,0.0012476,0.0012476
21,3217.9,1.02706,0.78022,1.05539,0.92795,0.92035,0.96358,0.74591,0.8794,0.62337,0.96666,0.001208,0.001208,0.001208
22,3371.72,0.95124,0.74378,1.0365,0.91837,0.89601,0.94854,0.75614,0.81413,0.64884,0.98364,0.0011684,0.0011684,0.0011684
23,3523.61,0.91432,0.70139,1.03149,0.94355,0.90265,0.96093,0.7632,0.83712,0.61707,0.98267,0.0011288,0.0011288,0.0011288
24,3677.87,0.91611,0.69996,1.0263,0.95324,0.90196,0.95638,0.76665,0.7876,0.60631,0.94656,0.0010892,0.0010892,0.0010892
25,3831.48,0.93053,0.69864,1.03418,0.9588,0.89381,0.95167,0.78787,0.78396,0.60506,0.9599,0.0010496,0.0010496,0.0010496
26,3985.82,0.92881,0.70043,1.02605,0.92342,0.88496,0.9503,0.76396,0.80948,0.64987,0.97332,0.00101,0.00101,0.00101
27,4141.64,0.85601,0.66131,1.00545,0.92721,0.90189,0.94199,0.78341,0.7499,0.58846,0.96642,0.0009704,0.0009704,0.0009704
28,4296.31,0.88051,0.65968,1.01335,0.93527,0.89501,0.94115,0.7691,0.77004,0.60709,0.97715,0.0009308,0.0009308,0.0009308
29,4451.41,0.86248,0.6488,1.0102,0.93061,0.90265,0.95456,0.80366,0.71959,0.55568,0.95617,0.0008912,0.0008912,0.0008912
30,4606.18,0.87683,0.65599,1.01849,0.92028,0.9115,0.94909,0.79358,0.73497,0.55502,0.95791,0.0008516,0.0008516,0.0008516
31,4760.27,0.84244,0.62855,1.00636,0.94894,0.88496,0.95311,0.80565,0.71427,0.56835,0.95254,0.000812,0.000812,0.000812
32,4924.63,0.84004,0.63012,1.01253,0.94671,0.89381,0.95257,0.80676,0.72127,0.54378,0.95292,0.0007724,0.0007724,0.0007724
33,5082.1,0.8244,0.61025,1.00025,0.95121,0.9115,0.95279,0.81419,0.67519,0.56079,0.92175,0.0007328,0.0007328,0.0007328
34,5233.99,0.82349,0.61627,0.99011,0.93617,0.90855,0.95813,0.79846,0.72798,0.55478,0.95373,0.0006932,0.0006932,0.0006932
35,5384.16,0.85457,0.61938,1.00328,0.95391,0.92035,0.96683,0.8143,0.70315,0.52747,0.94682,0.0006536,0.0006536,0.0006536
36,5535.39,0.81795,0.59539,0.98548,0.93829,0.90265,0.94065,0.80573,0.68763,0.56559,0.94663,0.000614,0.000614,0.000614
37,5685.97,0.80369,0.59702,0.98707,0.95918,0.89381,0.95776,0.80805,0.71075,0.56018,0.94609,0.0005744,0.0005744,0.0005744
