epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.504,0.77195,0.57894,0.97972,0.93584,0.90362,0.95718,0.7871,0.74368,0.57513,0.93997,0.000647059,0.000647059,0.000647059
2,329.514,0.8774,0.6261,1.01534,0.96146,0.88319,0.92571,0.76206,0.79521,0.67325,0.98732,0.00130072,0.00130072,0.00130072
3,489.568,0.92384,0.68436,1.03236,0.9487,0.85841,0.94674,0.78219,0.78928,0.60693,0.97484,0.00194118,0.00194118,0.00194118
4,649.23,0.95075,0.71743,1.0484,0.90818,0.88496,0.92786,0.75939,0.76793,0.63125,0.97401,0.0019406,0.0019406,0.0019406
5,807.495,0.93816,0.70276,1.04243,0.40321,0.0885,0.07928,0.0351,3.76876,4.46192,4.77027,0.0019208,0.0019208,0.0019208
6,968.445,0.94317,0.6957,1.03509,0.85408,0.82876,0.90347,0.68282,0.94494,0.88544,1.04385,0.001901,0.001901,0.001901
7,1126.91,0.95706,0.71465,1.04768,0.93589,0.85841,0.95315,0.74873,0.88946,0.64726,1.02969,0.0018812,0.0018812,0.0018812
8,1286.44,0.95852,0.70921,1.04347,0.94568,0.89381,0.94708,0.73744,0.86886,0.64424,1.01599,0.0018614,0.0018614,0.0018614
9,1445.94,0.9674,0.70469,1.04531,0.91009,0.89583,0.95623,0.72582,0.88543,0.67362,0.98529,0.0018416,0.0018416,0.0018416
10,1606.68,0.89452,0.68216,1.03061,0.94418,0.89821,0.96524,0.79475,0.76569,0.6074,0.96664,0.0018218,0.0018218,0.0018218
11,1770.32,0.90871,0.6685,1.019,0.94528,0.91723,0.94385,0.75723,0.87472,0.65844,1.01337,0.001802,0.001802,0.001802
12,1933.26,0.91348,0.66588,1.03031,0.93427,0.88053,0.95043,0.76221,0.81737,0.5812,0.97852,0.0017822,0.0017822,0.0017822
13,2093.06,0.91106,0.64002,1.02238,0.95353,0.89381,0.94978,0.76244,0.79779,0.598,0.97714,0.0017624,0.0017624,0.0017624
14,2253.41,0.89615,0.64595,1.02287,0.92131,0.88496,0.92558,0.72862,0.92885,0.68254,1.00873,0.0017426,0.0017426,0.0017426
15,2414.96,0.91593,0.6684,1.02768,0.91524,0.89381,0.93664,0.74991,0.83722,0.5901,0.99645,0.0017228,0.0017228,0.0017228
16,2575.7,0.88688,0.65258,1.02205,0.91629,0.90265,0.94388,0.77265,0.78992,0.5924,0.98764,0.001703,0.001703,0.001703
17,2736.95,0.90488,0.65833,1.02531,0.92402,0.89381,0.94936,0.78207,0.75404,0.58403,0.96815,0.0016832,0.0016832,0.0016832
18,2898.52,0.87532,0.63596,1.0128,0.91262,0.93805,0.9519,0.79078,0.75457,0.55179,0.97845,0.0016634,0.0016634,0.0016634
19,3059.32,0.90575,0.64486,1.0211,0.93403,0.87712,0.93729,0.74744,0.87179,0.6207,0.99481,0.0016436,0.0016436,0.0016436
20,3219.62,0.88626,0.64526,1.01119,0.95215,0.9115,0.95531,0.76633,0.7835,0.56648,0.98926,0.0016238,0.0016238,0.0016238
21,3390.17,0.89904,0.65584,1.02285,0.95331,0.90339,0.94453,0.73048,0.86567,0.59636,0.99432,0.001604,0.001604,0.001604
22,3566.53,0.86366,0.62452,1.00988,0.93239,0.88496,0.95124,0.79074,0.7131,0.55441,0.93669,0.0015842,0.0015842,0.0015842
23,3745.08,0.83508,0.60021,0.99983,0.94081,0.89381,0.93362,0.79112,0.72578,0.58472,0.96617,0.0015644,0.0015644,0.0015644
24,3925.98,0.82394,0.5968,1.00347,0.93464,0.88588,0.94302,0.78209,0.74748,0.56623,0.9691,0.0015446,0.0015446,0.0015446
25,4108.7,0.88365,0.61809,1.01688,0.93692,0.92009,0.96114,0.78838,0.75624,0.53617,0.96219,0.0015248,0.0015248,0.0015248
26,4293.97,0.85189,0.62142,1.01026,0.94228,0.89381,0.95576,0.781,0.76263,0.54473,0.9736,0.001505,0.001505,0.001505
27,4478.24,0.816,0.59784,0.99379,0.93461,0.9115,0.94727,0.8012,0.68093,0.48825,0.94828,0.0014852,0.0014852,0.0014852
28,4655.38,0.82395,0.59789,0.99973,0.95112,0.90265,0.93853,0.8046,0.69183,0.56439,0.94696,0.0014654,0.0014654,0.0014654
29,4817.81,0.81507,0.59,0.99497,0.94308,0.9115,0.95295,0.79742,0.71085,0.555,0.9526,0.0014456,0.0014456,0.0014456
30,4977.08,0.829,0.59625,1.00529,0.94292,0.89381,0.94445,0.79433,0.70747,0.52343,0.96952,0.0014258,0.0014258,0.0014258
31,5138.08,0.81435,0.57529,0.99966,0.95026,0.90265,0.95973,0.80949,0.71328,0.51911,0.95339,0.001406,0.001406,0.001406
32,5296.95,0.81001,0.58743,1.00247,0.95245,0.90265,0.94848,0.79748,0.72446,0.51034,0.95202,0.0013862,0.0013862,0.0013862
33,5455.06,0.79843,0.56545,0.98622,0.94255,0.89381,0.93685,0.80637,0.64701,0.55927,0.9251,0.0013664,0.0013664,0.0013664
34,5613.33,0.78319,0.56793,0.98377,0.93824,0.90265,0.93513,0.78668,0.68137,0.53129,0.94182,0.0013466,0.0013466,0.0013466
35,5772.1,0.79816,0.57521,0.98872,0.93129,0.90265,0.94433,0.80744,0.68334,0.53953,0.95842,0.0013268,0.0013268,0.0013268
36,5937.67,0.78121,0.55402,0.97882,0.95326,0.90236,0.95152,0.81856,0.6825,0.53723,0.94638,0.001307,0.001307,0.001307
37,6097.53,0.76251,0.54096,0.97365,0.92333,0.90265,0.94621,0.81406,0.64997,0.50466,0.92051,0.0012872,0.0012872,0.0012872
38,6255.94,0.77486,0.55141,0.97936,0.94257,0.90265,0.93389,0.79207,0.70516,0.5444,0.96198,0.0012674,0.0012674,0.0012674
39,6416.81,0.76453,0.55642,0.97828,0.95272,0.89155,0.93929,0.80142,0.6915,0.5542,0.93907,0.0012476,0.0012476,0.0012476
40,6577.24,0.79023,0.5347,0.97977,0.94288,0.89381,0.93895,0.79613,0.71317,0.57926,0.93484,0.0012278,0.0012278,0.0012278
41,6735.32,0.82518,0.56025,0.9916,0.93567,0.90102,0.95036,0.79719,0.7158,0.5568,0.96624,0.001208,0.001208,0.001208
42,6893.41,0.79262,0.5665,0.98117,0.92562,0.89381,0.95326,0.80077,0.69837,0.52881,0.94971,0.0011882,0.0011882,0.0011882
43,7051.25,0.78087,0.56029,0.97514,0.93572,0.90182,0.94556,0.79784,0.70715,0.54313,0.94212,0.0011684,0.0011684,0.0011684
44,7209.34,0.78308,0.55223,0.98185,0.94133,0.92035,0.94843,0.81458,0.67016,0.53747,0.90941,0.0011486,0.0011486,0.0011486
45,7367.11,0.77827,0.54962,0.98247,0.94396,0.88496,0.95032,0.81243,0.6784,0.50972,0.93294,0.0011288,0.0011288,0.0011288
46,7526.14,0.77074,0.53787,0.97498,0.96219,0.90085,0.95353,0.80053,0.69786,0.50745,0.93537,0.001109,0.001109,0.001109
47,7687.48,0.7776,0.55324,0.9829,0.94115,0.88496,0.95577,0.82627,0.6628,0.503,0.9199,0.0010892,0.0010892,0.0010892
48,7849.76,0.74772,0.5228,0.9665,0.94493,0.91101,0.95003,0.82816,0.62447,0.49056,0.90116,0.0010694,0.0010694,0.0010694
49,8008.05,0.74692,0.50896,0.97173,0.94212,0.90265,0.96082,0.82249,0.64951,0.49329,0.90345,0.0010496,0.0010496,0.0010496
50,8165.85,0.74087,0.50857,0.9567,0.94394,0.89407,0.95591,0.8107,0.65708,0.52529,0.93114,0.0010298,0.0010298,0.0010298
51,8325.29,0.75307,0.5208,0.96922,0.94268,0.87611,0.94445,0.79872,0.72547,0.54031,0.94556,0.00101,0.00101,0.00101
52,8483.72,0.731,0.50533,0.96421,0.94133,0.90265,0.95943,0.83543,0.65184,0.49535,0.91621,0.0009902,0.0009902,0.0009902
53,8642.08,0.71499,0.49599,0.95852,0.92329,0.89381,0.95354,0.82963,0.65028,0.52533,0.91593,0.0009704,0.0009704,0.0009704
54,8804.17,0.73155,0.5124,0.9648,0.95135,0.90265,0.95731,0.8155,0.67407,0.49701,0.90767,0.0009506,0.0009506,0.0009506
55,8962.71,0.75669,0.50843,0.96507,0.95319,0.90265,0.9435,0.81736,0.65013,0.50936,0.9115,0.0009308,0.0009308,0.0009308
56,9122.05,0.75142,0.51687,0.97329,0.94692,0.89381,0.94465,0.81837,0.62341,0.48035,0.91554,0.000911,0.000911,0.000911
57,9293.48,0.71701,0.51121,0.9591,0.94264,0.90265,0.95149,0.82716,0.61337,0.48775,0.91707,0.0008912,0.0008912,0.0008912
58,50140.8,0.69027,0.47725,0.95203,0.94387,0.89293,0.95178,0.83184,0.61385,0.48286,0.92775,0.0008714,0.0008714,0.0008714
59,50314.7,0.70889,0.48954,0.95518,0.95079,0.90265,0.94931,0.81047,0.69009,0.48664,0.92662,0.0008516,0.0008516,0.0008516
60,50464,0.71818,0.48912,0.94826,0.95315,0.9002,0.94874,0.83501,0.64865,0.50436,0.93501,0.0008318,0.0008318,0.0008318
61,50614,0.72197,0.49456,0.95013,0.95143,0.90265,0.95366,0.82087,0.65079,0.49391,0.92112,0.000812,0.000812,0.000812
62,50763.6,0.73228,0.50323,0.96675,0.94903,0.90265,0.94876,0.81981,0.65051,0.49601,0.92788,0.0007922,0.0007922,0.0007922
63,50914.5,0.70936,0.48933,0.96009,0.95908,0.89381,0.94806,0.83656,0.60627,0.46513,0.91706,0.0007724,0.0007724,0.0007724
64,51064.8,0.70433,0.48511,0.9525,0.94178,0.89381,0.94729,0.8457,0.60876,0.46536,0.92756,0.0007526,0.0007526,0.0007526
65,51216.2,0.70738,0.4982,0.96093,0.94489,0.91043,0.95828,0.84842,0.61864,0.4604,0.91572,0.0007328,0.0007328,0.0007328
66,51365.8,0.69909,0.48263,0.95743,0.94314,0.90265,0.95152,0.83541,0.59958,0.47601,0.91241,0.000713,0.000713,0.000713
67,51515.5,0.69792,0.4801,0.9547,0.94437,0.9014,0.93536,0.82677,0.61236,0.48837,0.92409,0.0006932,0.0006932,0.0006932
68,51665.4,0.682,0.46821,0.95042,0.94316,0.89381,0.94332,0.83918,0.61378,0.48984,0.93013,0.0006734,0.0006734,0.0006734
69,51815.6,0.67392,0.46401,0.94877,0.95319,0.90111,0.93998,0.81916,0.63918,0.47778,0.92369,0.0006536,0.0006536,0.0006536
70,51965.7,0.68958,0.47602,0.95215,0.95215,0.90265,0.93683,0.81562,0.65525,0.50927,0.93081,0.0006338,0.0006338,0.0006338
71,52116.8,0.69535,0.47449,0.94038,0.95363,0.9099,0.95037,0.83454,0.63184,0.50228,0.92625,0.000614,0.000614,0.000614
72,52266.7,0.69606,0.48205,0.95193,0.96142,0.88216,0.95611,0.83515,0.64536,0.47339,0.92779,0.0005942,0.0005942,0.0005942
73,52416.8,0.67618,0.45892,0.94368,0.94992,0.90265,0.95325,0.84885,0.60686,0.46841,0.91629,0.0005744,0.0005744,0.0005744
74,52567,0.65045,0.45279,0.93701,0.94486,0.90995,0.94263,0.83912,0.5915,0.48038,0.9245,0.0005546,0.0005546,0.0005546
75,52717.3,0.66594,0.46183,0.94483,0.96186,0.89269,0.93824,0.8421,0.6037,0.4701,0.91845,0.0005348,0.0005348,0.0005348
76,52866.9,0.65638,0.45838,0.93926,0.95183,0.90265,0.94372,0.84702,0.58833,0.452,0.90249,0.000515,0.000515,0.000515
77,53018.4,0.64803,0.4526,0.94667,0.9505,0.90265,0.94805,0.85961,0.56666,0.45686,0.90487,0.0004952,0.0004952,0.0004952
78,53168.7,0.64598,0.4569,0.92989,0.94375,0.89089,0.9485,0.83961,0.57613,0.45007,0.90844,0.0004754,0.0004754,0.0004754
79,53319.3,0.64454,0.44395,0.93447,0.93414,0.90265,0.94568,0.83538,0.59841,0.44388,0.92592,0.0004556,0.0004556,0.0004556
80,53469.3,0.65442,0.45214,0.94306,0.94407,0.89627,0.94361,0.83684,0.58784,0.44988,0.91377,0.0004358,0.0004358,0.0004358
81,53620.5,0.65871,0.44958,0.9428,0.96174,0.88989,0.94042,0.83332,0.5798,0.45177,0.90936,0.000416,0.000416,0.000416
82,53770.6,0.64254,0.43551,0.93854,0.95319,0.90107,0.94576,0.84633,0.60359,0.47175,0.91937,0.0003962,0.0003962,0.0003962
83,53922.7,0.63946,0.43058,0.93788,0.95278,0.89278,0.94724,0.85037,0.57565,0.44659,0.90787,0.0003764,0.0003764,0.0003764
84,54073.5,0.62003,0.42639,0.93697,0.95266,0.90265,0.94723,0.85206,0.56736,0.44427,0.89637,0.0003566,0.0003566,0.0003566
85,54226.9,0.62511,0.4221,0.92699,0.95324,0.902,0.94583,0.83967,0.58861,0.44995,0.90098,0.0003368,0.0003368,0.0003368
86,54385.9,0.62513,0.42236,0.92964,0.95226,0.89381,0.94558,0.84207,0.57555,0.45332,0.90577,0.000317,0.000317,0.000317
87,54543.8,0.61678,0.42605,0.93153,0.94332,0.9115,0.94576,0.84224,0.56526,0.4415,0.90037,0.0002972,0.0002972,0.0002972
88,54696.3,0.61549,0.4125,0.92666,0.95246,0.89381,0.94727,0.83852,0.58232,0.46381,0.90651,0.0002774,0.0002774,0.0002774
89,54848.7,0.61749,0.42594,0.93422,0.94483,0.90937,0.94643,0.84061,0.58377,0.47553,0.905,0.0002576,0.0002576,0.0002576
90,54999.1,0.60885,0.4126,0.91822,0.9532,0.90115,0.94233,0.84901,0.55949,0.4529,0.89591,0.0002378,0.0002378,0.0002378
91,55148.2,0.47721,0.34543,0.86895,0.95316,0.90033,0.93897,0.82476,0.60373,0.47244,0.919,0.000218,0.000218,0.000218
92,55296.4,0.46154,0.32878,0.8683,0.9532,0.90132,0.93813,0.84177,0.56552,0.45102,0.8959,0.0001982,0.0001982,0.0001982
93,55446.8,0.47498,0.32651,0.86642,0.95244,0.9115,0.93953,0.83758,0.57861,0.47009,0.90275,0.0001784,0.0001784,0.0001784
94,55595.9,0.45309,0.31014,0.85429,0.94174,0.9115,0.94113,0.84574,0.57975,0.46585,0.90368,0.0001586,0.0001586,0.0001586
95,55746.2,0.45501,0.31621,0.86017,0.94257,0.9115,0.94405,0.8459,0.587,0.46759,0.90619,0.0001388,0.0001388,0.0001388
96,55895.4,0.44911,0.31245,0.85143,0.94434,0.9115,0.94466,0.85256,0.56401,0.43833,0.89674,0.000119,0.000119,0.000119
97,56044.4,0.44822,0.31846,0.8572,0.9432,0.9115,0.94389,0.85211,0.56341,0.44025,0.8993,9.92e-05,9.92e-05,9.92e-05
98,56193.2,0.44316,0.30346,0.85112,0.94266,0.9115,0.94456,0.8522,0.56623,0.44359,0.9024,7.94e-05,7.94e-05,7.94e-05
99,56347.3,0.44478,0.30813,0.85055,0.94203,0.9115,0.94576,0.8466,0.56562,0.45541,0.90073,5.96e-05,5.96e-05,5.96e-05
100,56505.4,0.43464,0.30125,0.85631,0.94286,0.9115,0.94601,0.85382,0.56235,0.45674,0.90133,3.98e-05,3.98e-05,3.98e-05
